DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.838,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17882955,-0.2867,0.0765,9.8568,-0.3072,0.3152,-0.4319
17883122,-0.2975,0.0702,9.8565,-0.2839,0.3756,-0.3320
17883289,-0.2951,0.0637,9.8551,-0.2972,0.3531,-0.3438
17883455,-0.2886,0.0671,9.8524,-0.1988,0.3908,-0.3996
17883622,-0.2801,0.0644,9.8613,-0.1824,0.3143,-0.3288
17883789,-0.2841,0.0675,9.8396,-0.2261,0.3779,-0.3874
17883955,-0.2788,0.0654,9.8642,-0.2147,0.3550,-0.2992
17884122,-0.2801,0.0791,9.8615,-0.2158,0.3922,-0.4595
17884289,-0.2748,0.0697,9.8699,-0.1816,0.3249,-0.3788
17884455,-0.2875,0.0780,9.8670,-0.2279,0.3612,-0.3247
17884622,-0.2942,0.0836,9.8614,-0.2100,0.2962,-0.3340
17884789,-0.2864,0.0744,9.8621,-0.1156,0.3913,-0.3648
17884955,-0.2881,0.0760,9.8557,-0.1712,0.3714,-0.3665
17885122,-0.2948,0.0801,9.8703,-0.2250,0.3828,-0.4127
17885289,-0.2835,0.0849,9.8567,-0.2164,0.3265,-0.3678
17885455,-0.2870,0.0615,9.8544,-0.1838,0.3730,-0.3513
17885622,-0.2951,0.0770,9.8410,-0.1406,0.3797,-0.3079
17885789,-0.2756,0.0758,9.8550,-0.2973,0.3228,-0.3460
17885955,-0.2865,0.0786,9.8511,-0.1798,0.3929,-0.3832
17886122,-0.2751,0.0855,9.8703,-0.2602,0.4481,-0.2867
17886289,-0.2822,0.0801,9.8593,-0.1890,0.4181,-0.3445
17886455,-0.2856,0.0681,9.8538,-0.1816,0.2988,-0.3445
17886622,-0.2865,0.0765,9.8733,-0.1523,0.3236,-0.2674
17886789,-0.2917,0.0665,9.8542,-0.1799,0.3820,-0.3586
17886955,-0.2848,0.0749,9.8556,-0.2037,0.4328,-0.3949
17887122,-0.2907,0.0776,9.8587,-0.2105,0.3591,-0.3700
17887289,-0.2847,0.0542,9.8474,-0.1904,0.4297,-0.3927
17887455,-0.2891,0.0752,9.8576,-0.0925,0.4261,-0.3190
17887622,-0.2894,0.0756,9.8607,-0.2284,0.3932,-0.2989
