DeviceTag: XsensDOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.622,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17877125,-0.0741,-0.0496,9.8073,-0.3928,0.0534,-0.1637
17877292,-0.0807,-0.0536,9.7971,-0.3858,0.0362,-0.0783
17877459,-0.0878,-0.0577,9.8106,-0.3788,0.0410,-0.1820
17877625,-0.0788,-0.0430,9.8021,-0.4659,0.1001,-0.1030
17877792,-0.0850,-0.0491,9.8162,-0.4136,0.0398,-0.1169
17877959,-0.0889,-0.0452,9.8040,-0.4181,0.0712,-0.1191
17878125,-0.0763,-0.0614,9.8015,-0.4370,0.1016,-0.1517
17878292,-0.0884,-0.0412,9.8076,-0.4237,0.0813,-0.1916
17878459,-0.0713,-0.0494,9.8126,-0.3605,0.0762,-0.0937
17878625,-0.0918,-0.0633,9.8086,-0.4430,0.1014,-0.1766
17878792,-0.0761,-0.0518,9.8069,-0.4399,-0.0344,-0.2128
17878959,-0.0789,-0.0601,9.8002,-0.4122,0.0929,-0.0777
17879125,-0.0667,-0.0424,9.8196,-0.3980,0.0758,-0.1814
17879292,-0.0869,-0.0514,9.8162,-0.4151,0.0733,-0.1950
17879459,-0.0792,-0.0419,9.8094,-0.4480,0.0397,-0.1759
17879625,-0.0876,-0.0440,9.8195,-0.4683,0.0282,-0.1695
17879792,-0.0761,-0.0521,9.8131,-0.4710,0.0558,-0.1130
17879959,-0.0886,-0.0467,9.7979,-0.4591,0.0511,-0.1132
17880125,-0.0855,-0.0399,9.8088,-0.3049,0.0879,-0.1265
17880292,-0.0715,-0.0521,9.8118,-0.4010,0.0892,-0.1090
17880459,-0.0781,-0.0383,9.8108,-0.5044,0.0326,-0.1797
17880625,-0.0858,-0.0425,9.8172,-0.3986,0.0183,-0.1237
17880792,-0.0850,-0.0633,9.8049,-0.4917,0.0274,-0.2040
17880959,-0.0735,-0.0447,9.8116,-0.3913,0.0808,-0.1702
17881125,-0.0716,-0.0451,9.8134,-0.4083,0.0869,-0.1294
17881292,-0.0800,-0.0654,9.8183,-0.4424,0.0989,-0.0937
17881459,-0.0853,-0.0475,9.8317,-0.3986,0.0050,-0.1508
17881625,-0.0607,-0.0455,9.8091,-0.4856,0.1270,-0.2042
17881792,-0.0874,-0.0473,9.8134,-0.4704,0.1129,-0.1810
17881959,-0.0771,-0.0379,9.7992,-0.3845,0.0933,-0.1585
17882126,-0.0754,-0.0560,9.8090,-0.4612,0.0893,-0.1945
17882292,-0.0889,-0.0513,9.8092,-0.3740,0.0851,-0.1117
17882459,-0.0791,-0.0506,9.8045,-0.3825,0.0688,-0.1826
17882626,-0.0733,-0.0542,9.7995,-0.4789,0.0207,-0.1735
17882792,-0.0799,-0.0398,9.8033,-0.4148,0.0494,-0.1639
17882959,-0.0759,-0.0591,9.8014,-0.4140,0.0917,-0.1268
17883126,-0.0612,-0.0550,9.7974,-0.3690,0.1006,-0.1968
17883292,-0.0900,-0.0492,9.7948,-0.4185,0.0523,-0.1362
17883459,-0.0849,-0.0520,9.8101,-0.3750,0.0737,-0.1882
17883626,-0.0823,-0.0379,9.8202,-0.4043,0.1064,-0.1567
17883792,-0.0799,-0.0479,9.8061,-0.4714,0.0498,-0.2307
17883959,-0.0746,-0.0522,9.8185,-0.4650,0.0434,-0.0978
17884126,-0.0827,-0.0441,9.8008,-0.4987,0.1091,-0.1403
